,inputs,targets,outputs
2218,padhaataa,पढ़ाता,पहुंचा
2219,padhata,पढ़ाता,पहनाई
2220,patili,पतीली,पहचाना
2221,padamawati,पदमावती,पाटन
2222,padmavati,पदमावती,पाव्यता
2223,padmawati,पदमावती,पाठ
2224,padadhikari,पदाधिकारी,पावर
2225,panapnaa,पनपना,पाल्यक्षेत्र
2226,panpana,पनपना,पुनर्विधान
2227,panaamaa,पनामा,पालिक
2228,panama,पनामा,पांडा
2229,paneer,पनीर,पांचने
2230,pammi,पम्मी,पत्रिका
2231,pammu,पम्मी,पत्रांत
2232,pummi,पम्मी,पुरुषार्थ
2233,pummy,पम्मी,पुनर्वाद
2234,pardesiyon,परदेसियों,परिवेश
2235,pardesi,परदेसी,परिकार
2236,parva,परवा,परिचार
2237,parvaa,परवा,परिवेश
2238,parwa,परवा,परिवाद
2239,parwaa,परवा,परिपाल
2240,paraadheen,पराधीन,परिवेदन
2241,paraadhin,पराधीन,परिवाद
2242,paradheen,पराधीन,परिक्रम
2243,paradhin,पराधीन,परिपालिक
2244,parikalpit,परिकल्पित,परिपादक
2245,parimal,परिमल,परिस्थान
2246,parishad,परिषद,परिणाम
2247,parishadiy,परिषदीय,परिवेश
2248,parishadiya,परिषदीय,परिवेदन
2249,parishadon,परिषदों,परिवेश
2250,parikhaen,परीक्षाएं,परिसंग्रह
2251,parikshaayein,परीक्षाएं,परिहासी
2252,parikshaen,परीक्षाएं,परिवेश
2253,parosane,परोसने,परिवासी
2254,parosne,परोसने,परिकार
2255,parda,पर्दा,परिणावार
2256,pardaa,पर्दा,परिभाषा
2257,purple,पर्पल,पुरुषा
2258,palatne,पलटने,पुरातत्र
2259,paltane,पलटने,परिपाद
2260,palaari,पलारी,परिवेश
2261,palari,पलारी,पुराता
2262,pale,पले,पार्यक्रम
2263,palmonari,पल्मोनरी,पुरातता
2264,pulmonary,पल्मोनरी,पुरातत्मक
2265,plus,पल्स,पीटी
2266,pulse,पल्स,पुरातत्व
2267,pashtun,पश्तून,पाल्य
2268,pashtuun,पश्तून,पांड
2269,pahan,पहन,पावर
2270,pehan,पहन,पहचान
2271,pahantaa,पहनता,पाठ
2272,pahnata,पहनता,पहचान
2273,pehnate,पहनता,पाव्य
2274,pahanate,पहनते,पांडा
2275,pahante,पहनते,पहनाते
2276,pehnate,पहनते,पाव्य
2277,pahnaakar,पहनाकर,पहनाव
2278,pahnakar,पहनाकर,पहनाव
2279,pehnakar,पहनाकर,पादा
2280,pahnaati,पहनाती,पहनाते
2281,pahnati,पहनाती,पाटी
2282,pehnati,पहनाती,पावल
2283,pahani,पहनी,पांचा
2284,pahni,पहनी,पादुर्भाव
2285,pehni,पहनी,पांडा
2286,pahno,पहनो,पादर
2287,pehno,पहनो,पहनाने
2288,pahla,पहला,पहना
2289,pahlaa,पहला,पहुंबा
2290,pehla,पहला,पहना
2291,paheliyaan,पहेलियां,पावर
2292,paheliyan,पहेलियां,पहना
2293,paheliyon,पहेलियों,पावर
2294,pide,पाइड,पीट्रिया
2295,pied,पाइड,पिक्के
2296,pythagoras,पाइथागोरस,पीप
2297,pythogaras,पाइथागोरस,पीट
2298,paakhandi,पाखंडी,पाव्य
2299,pakhandi,पाखंडी,पांचवाने
2300,paathshaalaayein,पाठशालाएं,पहना
2301,pathshalayein,पाठशालाएं,पावर
2302,pathshalayen,पाठशालाएं,पहचाने
2303,paathyakram,पाठ्यक्रम,पहलाया
2304,pathyakram,पाठ्यक्रम,पाव्य
2305,pathykram,पाठ्यक्रम,पहनाने
2306,paathyakramon,पाठ्यक्रमों,पहनाये
2307,pathyakramon,पाठ्यक्रमों,पादु
2308,pathykramon,पाठ्यक्रमों,पाटने
2309,population,पापुलेशन,पुर्म
2310,pailot,पायलट,पीढ़ा
2311,pilot,पायलट,पिछला
2312,pailoton,पायलटों,पाल्या
2313,piloton,पायलटों,पिछला
2314,paarampariktaa,पारंपरिकता,परिपक्षा
2315,paramparikata,पारंपरिकता,परिक्षेत्र
2316,paramparikta,पारंपरिकता,परिवार
2317,parnel,पार्नेल,परिवेश
2318,parnell,पार्नेल,परिवेश
2319,parleron,पार्लरों,परिवेदना
2320,parloron,पार्लरों,परिसंभावित
2321,parlouron,पार्लरों,परिकार
2322,paarshad,पार्षद,परिवेश
2323,parshad,पार्षद,परिभागी
2324,paarshadon,पार्षदों,पुरातत्व
2325,parshadon,पार्षदों,परिवासित
2326,parshdon,पार्षदों,परिस्थापन
2327,policy,पालिसी,पुरुषा
2328,pinta,पिंटा,पित्रा
2329,pintaa,पिंटा,पिंगल
2330,piega,पिएगा,पीएसएम
2331,piyegaa,पिएगा,पित्ति
2332,pic,पिक,पित्तिक
2333,pick,पिक,पितारा
2334,pik,पिक,पिछला
2335,piki,पिकी,पीएच
2336,piky,पिकी,पीट
2337,picture,पिक्चर,पिछ्बे
2338,pigmentation,पिगमेंटेशन,पिक्के
2339,pigs,पिग्स,पेरी
2340,pichde,पिछड़े,पिंगल
2341,pichhade,पिछड़े,पिक्स
2342,pijja,पिज्जा,पिंगल
2343,pizza,पिज्जा,पीच
2344,pitaamaha,पितामह,पिंद्र
2345,pitamah,पितामह,पिंगला
2346,pipra,पिपरा,पितार
2347,pipraa,पिपरा,पिछला
2348,pipli,पिपली,पिछला
2349,pearson,पियरसन,पिक्स
2350,pierson,पियरसन,पिंडे
2351,peary,पियरी,पिछला
2352,piyari,पियरी,पिंदु
2353,pisaai,पिसाई,पीता
2354,pisai,पिसाई,पिछले
2355,pihaani,पिहानी,पाल्हा
2356,pihani,पिहानी,पिछलाने
2357,pib,पीआईबी,पिताते
2358,pr,पीआर,प्रतिराविधान
2359,pml,पीएमएल,पेंट्रिया
2360,pmo,पीएमओ,पिक्सी
2361,pmch,पीएमसीएच,फर्क
2362,psv,पीएसवी,पीटी
2363,peaking,पीकिंग,पिस्टर
2364,picking,पीकिंग,पीपी
2365,peetne,पीटने,पिंगला
2366,pitne,पीटने,पिछला
2367,pedia,पीडिया,पार्टिया
2368,pidiya,पीडिया,पित्रा
2369,pidiyaa,पीडिया,पिछला
2370,peelepan,पीलेपन,पीटी
2371,pilepan,पीलेपन,पिंगल
2372,pv,पीवी,पिक्सिया
2373,pisa,पीसा,पीपीएस
2374,putla,पुतला,पुनर्निया
2375,putlaa,पुतला,पुराता
2376,putaliyaan,पुतलियां,पुनर्विभाग
2377,putliyan,पुतलियां,पुरातियां
2378,putaliyon,पुतलियों,पुनर्विचार
2379,putliyon,पुतलियों,पुनर्निर्माण
2380,putali,पुतली,पुनर्वारा
2381,putli,पुतली,पुर्ण
2382,putale,पुतले,पुरुषा
2383,putle,पुतले,पुनराज
2384,putin,पुतिन,पांडे
2385,putul,पुतुल,पुनर्निर्माण
2386,punargathan,पुनर्गठन,पुरातता
2387,puna,पुना,पुरात्र
2388,puraane,पुराने,पुराता
2389,purane,पुराने,पुरुष्मी
2390,puru,पुरू,पुराता
2391,purjon,पुर्जों,पुनर्दा
2392,purzon,पुर्जों,पुनर्नियों
2393,pulam,पुलम,पुरातत्र
2394,pushkin,पुश्किन,पुनर्मान
2395,pushkarana,पुष्करणा,पुरातत्व
2396,pushkarna,पुष्करणा,पुराता
2397,pushkarnaa,पुष्करणा,पुरुष्ठ
2398,pushp,पुष्प,पुनर्विधान
2399,pushpa,पुष्प,पांगड़ी
2400,pushpa,पुष्पा,पुरुषा
2401,pushpaa,पुष्पा,पुरात
2402,pushpit,पुष्पित,पुनर्मान
2403,pushpon,पुष्पों,पुनर्विधान
2404,poonjikaran,पूंजीकरण,पुरातत्व
2405,punjikaran,पूंजीकरण,पुनर्जीव
2406,poojaapaath,पूजापाठ,पुरातत्र
2407,poojapath,पूजापाठ,पुराता
2408,pujapath,पूजापाठ,पुनर्वासन
2409,pooranpur,पूरनपुर,पुरातियों
2410,puranpur,पूरनपुर,पुरातत्व
2411,purvaabhaas,पूर्वाभास,पुनर्निमान
2412,purvaabhas,पूर्वाभास,पुरातत्र
2413,purvabhaas,पूर्वाभास,पुरात्र
2414,purvabhas,पूर्वाभास,पुरातत्मक
2415,pendulam,पेंडुलम,पेंट्रिक
2416,pendulum,पेंडुलम,पीए
2417,peg,पेग,पीट
2418,pages,पेजेज,पाता
2419,pajej,पेजेज,पादा
2420,pace,पेस,पांडा
2421,pes,पेस,पेरी
2422,pastry,पेस्ट्री,पांड
2423,pangolin,पैंगोलिन,पांडवी
2424,pengolin,पैंगोलिन,पिंगल
2425,packard,पैकर्ड,पांगला
2426,package,पैकेज,पान
2427,packageon,पैकेजों,पांडा
2428,packagon,पैकेजों,पांडवान
2429,packajon,पैकेजों,पांडा
2430,paim,पैम,पुनर्मान
2431,pam,पैम,पात्रा
2432,paratrooper,पैराट्रूपर,परिप्त
2433,peratrupers,पैराट्रूपर,परिवार
2434,paranormal,पैरानॉर्मल,परिस्वाधिकार
2435,peranormal,पैरानॉर्मल,परिपूर्ण
2436,paraffin,पैराफिन,परिवेशन
2437,parafin,पैराफिन,परिवेश
2438,perafin,पैराफिन,परिसंग्रेष्ठ
2439,parabola,पैराबोला,परिपाद
2440,perabola,पैराबोला,परिपाल
2441,polimer,पॉलिमर,पुरातत्ता
2442,polymer,पॉलिमर,पुनर्राष्ट्रीय
2443,polishing,पॉलिशिंग,पुनर्मान
2444,pokar,पोकर,पुनरावत
2445,poker,पोकर,पुरातत्व
2446,polish,पोलिश,पुरातत्र
2447,poshit,पोषित,पुरुष
2448,posta,पोस्ता,पुरुत्व
2449,pau,पौ,पुराता
2450,pyade,प्यादे,पिंक
2451,prakriya,प्रक्रिया,प्रतिकार
2452,prakshepak,प्रक्षेपक,प्रतिस्था
2453,pratigya,प्रतिज्ञा,प्रतिकार
2454,prtigyaa,प्रतिज्ञा,प्रतिक्षेत्र
2455,pratibhutiyan,प्रतिभूतियां,प्रतिर्वार
2456,pratiyon,प्रतियों,प्रतिकार
2457,prativaad,प्रतिवाद,प्रतिभूमित
2458,prativad,प्रतिवाद,प्रतिभागी
2459,prativadi,प्रतिवादी,प्रतिप्रवास
2460,pratishat,प्रतिशत,प्रतिकार
2461,praneet,प्रनीत,प्रतिक्रम
2462,pranit,प्रनीत,प्रतिकार
2463,prapaat,प्रपात,प्रतिकार्य
2464,prapat,प्रपात,प्रतिक्षेत्र
2465,prapaaton,प्रपातों,प्रतिकार
2466,prapaton,प्रपातों,प्रतिक्रम
2467,prabodhini,प्रबोधिनी,प्रतिकार
2468,prayaasrat,प्रयासरत,प्रतिपाद
2469,prayasarat,प्रयासरत,प्रांत
2470,pradarshan,प्रर्दशन,प्रतिराधिका
2471,prardashan,प्रर्दशन,प्रतिभूति
2472,pravati,प्रवत्ति,प्रतिर्था
2473,pravatti,प्रवत्ति,प्रतिकार
2474,prashaasanik,प्रशासनिक,प्रतिक्षेत्र
2475,prashasanik,प्रशासनिक,प्रतिभाव
2476,prashasnik,प्रशासनिक,प्रतिकार
2477,prashaasanon,प्रशासनों,प्राधिकार
2478,prashansanon,प्रशासनों,प्रतिराज
2479,prashasanon,प्रशासनों,प्रतिभूति
2480,prashikshu,प्रशिक्षु,प्रतिकारों
2481,prastaavon,प्रस्तावों,प्रतिस्थापन
2482,prastavon,प्रस्तावों,प्रतिपाधारण
2483,prahlaad,प्रहलाद,प्रतिभाव
2484,prahlad,प्रहलाद,प्रतिक्रिया
2485,prahasan,प्रहसन,प्रतिराज
2486,prahsan,प्रहसन,प्रतिभाव
2487,prahaarak,प्रहारक,प्रतिपालिक
2488,praharak,प्रहारक,प्राधिकार
2489,prahad,प्रह्लाद,प्रतिक्रम
2490,prahlad,प्रह्लाद,प्राय
2491,privacy,प्राइवेसी,प्रतिपूर्ण
2492,praakkathan,प्राक्कथन,प्रतिभागी
2493,prakkathan,प्राक्कथन,प्रतिक्रम
2494,praan,प्राण,प्रतिकार
2495,pran,प्राण,प्रतिक्षेत्र
2496,pranon,प्राणों,प्रतिभाव
2497,prathamik,प्राथमिक,प्रतिभाषा
2498,prathmik,प्राथमिक,प्रतिपूर्ण
2499,praathmikata,प्राथमिकता,प्रतिक्षा
2500,prathmikta,प्राथमिकता,प्रतिकृति
2501,prathmiki,प्राथमिकी,प्रतिभाव
2502,pradhyapakon,प्राध्यापकों,प्रतिरक्षिणा
2503,prapt,प्राप्त,प्रतिकृति
2504,prapta,प्राप्त,प्रतिभाष
2505,prapti,प्राप्ती,प्रतिक्रिया
2506,praroop,प्रारूप,प्रतिभाग्य
2507,prarup,प्रारूप,प्रतिभूति
2508,priyamani,प्रियामणि,प्रतिकार
2509,proof,प्रूफ,प्रतिपूर्ण
2510,pruf,प्रूफ,प्रतिभाषा
2511,prekshakon,प्रेक्षकों,प्रतिभाषा
2512,prem,प्रेम,प्रस्तान
2513,premlata,प्रेमलता,प्रतिर्वास
2514,prema,प्रेमा,प्रतिभाग
2515,premi,प्रेमी,प्रतिकाल
2516,profit,प्रॉफिट,प्रतिभावन
2517,processing,प्रॉसेसिंग,प्रतिभागी
2518,programers,प्रोग्रामर्स,प्रतिक्रम
2519,programmers,प्रोग्रामर्स,प्रतिपूर्ण
2520,programs,प्रोग्रामर्स,प्रतिपूर्वक
2521,proto,प्रोटो,प्रतिकार
2522,propellant,प्रोपेलेंट,प्रतिभाव
2523,propellent,प्रोपेलेंट,प्रतिकार
2524,praudh,प्रौढ,प्रतिकार
2525,proud,प्रौढ,प्रतिभाग्य
2526,plan,प्लेन,प्रतिस्थल
2527,plane,प्लेन,प्रतिपूर्ण
2528,fund,फंड,फैलाना
2529,funda,फंडा,फास्टर
2530,funding,फंडिंग,फैलाते
2531,fandon,फंदों,फाजिया
2532,fagua,फगुआ,फाजिया
2533,fatane,फटने,फांटते
2534,phatane,फटने,फैला
2535,phatne,फटने,फांग
2536,fadfadata,फड़फड़ाता,फांग
2537,phadphadata,फड़फड़ाता,फांस
2538,fatehgadh,फतेहगढ़,फाजिया
2539,fatehgarh,फतेहगढ़,फाड़ी
2540,fabti,फब्ती,फाजिया
2541,phabti,फब्ती,फांस
2542,farse,फरसे,फोर्ड
2543,pharase,फरसे,फिल्स
2544,pharse,फरसे,फोर्ड
2545,farheen,फरहीन,फर्म
2546,farhin,फरहीन,फोल
2547,farth,फर्थ,फर्म
2548,ferth,फर्थ,फिल्मे
2549,pharth,फर्थ,फेरा
2550,farmion,फर्मिऑन,फोर्ड
2551,fermion,फर्मिऑन,फर्स
2552,firmian,फर्मिऑन,फेरेंस
2553,farookhabad,फर्रुखाबाद,फोर्ड
2554,farrukhabad,फर्रुखाबाद,फर्के
2555,farukhabad,फर्रुखाबाद,फर्म
2556,farookhnagar,फर्रूखनगर,फोर्ड
2557,farrukhnagar,फर्रूखनगर,फर्म
2558,farukhnagar,फर्रूखनगर,फर्क
2559,falata,फलता,फूल्यावति
2560,falta,फलता,फोर्ड
2561,phalata,फलता,फैला
2562,falne,फलने,फोर्ड
2563,phalne,फलने,फोट
2564,falitarth,फलितार्थ,फोर्ड
2565,phalitartha,फलितार्थ,फोर्ड
2566,falibhoot,फलीभूत,फोर्ड
2567,falibhut,फलीभूत,फोर्ड
2568,phalibhoot,फलीभूत,फोटों
2569,favvara,फव्वारा,फांग
2570,fawaara,फव्वारा,फांचते
2571,favvare,फव्वारे,फाजिया
2572,fawaare,फव्वारे,फाजिया
2573,favvaron,फव्वारों,फांग
2574,fawaaron,फव्वारों,फाटकर
2575,faisala,फ़ैसला,फोटों
2576,faisla,फ़ैसला,फैलाते
2577,follow,फ़ॉलो,फोर्ड
2578,faansi,फांसी,फैलान
2579,fansi,फांसी,फैंड
2580,fatama,फातमा,फाजू
2581,fatma,फातमा,फाजिल
2582,faaf,फाफ,फाजिया
2583,phaaph,फाफ,फास्त्रीय
2584,farsi,फारसी,फोर्ड
2585,forcee,फारसी,फोर्ड
2586,farm,फार्म,फोर्ड
2587,form,फार्म,फोटेक्स
2588,farmic,फार्मिक,फोर्ड
2589,formic,फार्मिक,फोर्ड
2590,formulae,फार्मूले,फोर्ड
2591,formule,फार्मूले,फोर्ड
2592,formuley,फार्मूले,फोर्ड
2593,pharmacy,फार्मेसी,फर्मी
2594,pharma,फार्मों,फेल
2595,pharmon,फार्मों,फोर्ड
2596,farms,फार्म्स,फोर्ड
2597,finger,फिंगर,फर्मा
2598,fikra,फिक्र,फिलिया
2599,physician,फिजिशियन,फिल्स
2600,firti,फिरती,फिल्मे
2601,fisla,फिसला,फिल्मे
2602,fislaa,फिसला,फिलाने
2603,feeder,फीडर,फिलाते
2604,fulaaye,फुलाए,फोर्ड
2605,fulae,फुलाए,फोर्ड
2606,fulay,फुलाए,फोल्ड
2607,furti,फूर्ति,फोर्स
2608,phurti,फूर्ति,फेला
2609,fus,फूस,फोर
2610,phoos,फूस,फोट
2611,phus,फूस,फैलाते
2612,feka,फेका,फोर्ड
2613,fefada,फेफड़ा,फर्मिया
2614,fefda,फेफड़ा,फोर्ड
2615,facial,फेशियल,फायदा
2616,fact,फैक्ट,फांग
2617,federal,फैडरल,फर्निया
2618,failkar,फैलकर,फायदा
2619,failaaiye,फैलाइए,फायदान
2620,failaea,फैलाइए,फैलाने
2621,failaiya,फैलाइए,फैंके
2622,failaiye,फैलाइए,फैलना
2623,failegi,फैलेगी,फाल्य
2624,font,फॉन्ट,फोट्रो
2625,fogat,फोगाट,फोकर्स
2626,phogat,फोगाट,फोर्ड
2627,fod,फोड़,फोर्ड
2628,phod,फोड़,फोटे
2629,foda,फोड़ा,फोली
2630,fodaa,फोड़ा,फोर्ड
2631,phoda,फोड़ा,फोर्ड
2632,fode,फोड़े,फोरिया
2633,phode,फोड़े,फोटोन
2634,fodo,फोड़ों,फैला
2635,fodon,फोड़ों,फोर्ड
2636,phodo,फोड़ों,फोर्ड
2637,fortis,फोर्टिस,फोर्ड
2638,fusion,फ्यूजन,फोर्ड
2639,fuji,फ्यूजी,फैलाने
2640,fyuji,फ्यूजी,फर्मी
2641,francisca,फ्रांसिस्का,फ्रेन
2642,franciska,फ्रांसिस्का,फ्रांसफी
2643,fransiska,फ्रांसिस्का,फ्रेडर
2644,francisco,फ्रांसिस्को,फ्लेक्स
2645,francisko,फ्रांसिस्को,फ्रेनिक
2646,fransisko,फ्रांसिस्को,फ्राइड
2647,fringe,फ्रिंज,फ्रेंड
2648,friendship,फ्रेंडशिप,फ्रांसवेल
2649,frost,फ्रॉस्ट,फ्रेड
2650,flin,फ्लिन,फ्रेड
2651,flynn,फ्लिन,फ्राउन
2652,flesh,फ्लेश,फ्रेक
2653,bang,बंग,बनाते
2654,bung,बंग,बोली
2655,bangbandhu,बंगबंधु,बनाते
2656,bangbhang,बंगभंग,बनाते
2657,bangash,बंगश,बनाते
2658,bangsh,बंगश,बांस
2659,bantane,बंटने,बांचते
2660,bantne,बंटने,बांध
2661,bandhati,बंधती,बनाने
2662,bandhti,बंधती,बनाते
2663,bandhan,बंधान,बनाते
2664,bandhuon,बंधुओं,बनाए
2665,bamba,बंबा,बाधारण
2666,mumba,बंबा,मुखरा
2667,bakaayon,बकायों,बनाने
2668,bakayon,बकायों,बांस
2669,bakaul,बकौल,बनाते
2670,bakoul,बकौल,बनाते
2671,baksa,बक्सा,बनाने
2672,baksi,बक्सी,बनाते
2673,bakse,बक्से,बनाते
2674,bakhshane,बख्शने,बांग
2675,bakhshne,बख्शने,बांड
2676,bagad,बगड़,बादूर
2677,bagd,बगड़,बाह
2678,bageechi,बगीची,बागराज
2679,bagichi,बगीची,बाधना
2680,bachat,बचत,बांग
2681,bachati,बचती,बनाता
2682,bachti,बचती,बनाते
2683,bajana,बजना,बाधारण
2684,bajrangi,बजरंगी,बागल
2685,bajaj,बजाज,बाध्य
2686,batalvi,बटालवी,बाजियों
2687,badhachadhakar,बढ़ाचढ़ाकर,बढ़ा
2688,badata,बढ़ाता,बादूर
2689,badhaataa,बढ़ाता,बहुराज
2690,badhata,बढ़ाता,बादा
2691,badhaati,बढ़ाती,बाध्य
2692,badhati,बढ़ाती,बहुराज
2693,badhayi,बढ़ायी,बहुवाद
2694,badhav,बढ़ाव,बहुविधान
2695,badhotari,बढ़ोतरी,बहुविधान
2696,badhotri,बढ़ोतरी,बहुराष्ट्रवाद
2697,batlaae,बतलाए,बांग
2698,batlaaye,बतलाए,बाजा
2699,batlae,बतलाए,बागरा
2700,batlaye,बतलाए,बाहे
2701,batlaakar,बतलाकर,बाजा
2702,batlakar,बतलाकर,बाधवी
2703,badlapur,बदलापुर,बादा
2704,badali,बदली,बाजा
2705,badli,बदली,बागड़ा
2706,badam,बदाम,बाद्रावाद
2707,banva,बनवा,बांस
2708,banvaa,बनवा,बनाने
2709,banaam,बनाम,बनाने
2710,banam,बनाम,बांस
2711,bnaam,बनाम,बांडवा
2712,baniya,बनिया,बनाते
2713,banu,बनू,बनाते
2714,barpaayaa,बरपाया,बाल
2715,barpaya,बरपाया,बुला
2716,barsa,बरसा,बुलाने
2717,barsaata,बरसाता,बाल्या
2718,barsaataa,बरसाता,बोधियों
2719,barsata,बरसाता,बुद्धाधिकार
2720,barhad,बरहद,बार्ट
2721,baraat,बरात,बुद्धार्थ
2722,barat,बरात,बुद्ध
2723,braat,बरात,ब्राह्माण
2724,baraamad,बरामद,बल्ला
2725,baramad,बरामद,बाला
2726,bramad,बरामद,ब्रेंड
2727,baramade,बरामदे,बर्बा
2728,baramde,बरामदे,बुद्धि
2729,bare,बरे,बोधिक
2730,birth,बर्थ,बिजाने
2731,baljeet,बलजीत,बारा
2732,baljit,बलजीत,बांस
2733,ballabh,बल्लभ,बर्लिया
2734,balla,बल्ला,बार्ट
2735,balli,बल्ली,बुद्ध
2736,basava,बसावा,बनाते
2737,bastiyon,बस्तियों,बनाने
2738,bahroopiya,बहरूपिया,बादान
2739,bahrupiya,बहरूपिया,बहुप्रतिभाषा
2740,bahamaas,बहामास,बहुविधान
2741,bahamas,बहामास,बाजिया
2742,bahaav,बहाव,बहुवाद
2743,bahav,बहाव,बहाना
2744,bhav,बहाव,भागी
2745,bahavalpur,बहावलपुर,बहुमान्य
2746,bahawalpur,बहावलपुर,बागवान
2747,bahuchara,बहुचरा,बहुमान
2748,banthia,बांठिया,बाजा
2749,banthiya,बांठिया,बाल्मा
2750,bandhate,बांधते,बांस
2751,bandhte,बांधते,बांस
2752,banbi,बांबी,बाल्ट्रिया
2753,bombi,बांबी,बोला
2754,bounceron,बाउंसरों,बुलाए
2755,bowling,बाउलिंग,बोर्ड
2756,baku,बाकू,बांध
2757,bakuu,बाकू,बनाते
2758,baag,बाग,बाजिया
2759,bag,बाग,बाध्य
2760,bagh,बाग,बादा
2761,bagabani,बागबानी,बाध्य
2762,bagbani,बागबानी,बहुमान
2763,bagali,बागली,बहुमान
2764,bagli,बागली,बाधार्थ
2765,baagiyon,बागियों,बावर
2766,bagiyon,बागियों,बादा
2767,baago,बागो,बांध
2768,bago,बागो,बाजार
2769,baji,बाज़ी,बागवान
2770,bazi,बाज़ी,बाजिया
2771,bajaru,बाजारू,बाधवान
2772,bazaru,बाजारू,बाधारण
2773,bajuon,बाजुओं,बाजा
2774,badh,बाध,बांग
2775,badha,बाधा,बागवान
2776,baadhaaon,बाधाओं,बाध्यकाल
2777,baadhaon,बाधाओं,बाध्यात्मक
2778,badhaaon,बाधाओं,बहुविधा
2779,badhaon,बाधाओं,बाध्या
2780,baadhit,बाधित,बाजू
2781,badhit,बाधित,बाधारण
2782,baani,बानी,बनाने
2783,bani,बानी,बांडवा
2784,baapa,बापा,बादा
2785,baapaa,बापा,बाजिया
2786,bapa,बापा,बाधवा
2787,bapaa,बापा,बागवान
2788,baabat,बाबत,बागवाद
2789,babat,बाबत,बागवान
2790,babt,बाबत,बाजिया
2791,bayern,बायर्न,बाल्य
2792,byrun,बायर्न,बेक्स
2793,barah,बारह,बुद्धा
2794,baarahamaasee,बारहमासी,बर्बा
2795,barahamasi,बारहमासी,बुद्धार्थिक
2796,barahmasi,बारहमासी,बुलाती
2797,barahsinga,बारहसिंगा,बाल्लिया
2798,barasingha,बारहसिंगा,बुद्ध
2799,bala,बाला,बुद्धार्थ
2800,baalti,बाल्टी,बाल्टर
2801,balti,बाल्टी,बर्बा
2802,balty,बाल्टी,बालवीर
2803,baldvin,बाल्डविन,बुद्धि
2804,baldwin,बाल्डविन,बारा
2805,bavaji,बावजी,बाधवी
2806,bavji,बावजी,बाधार्थियों
2807,baawaraa,बावरा,बादा
2808,bavra,बावरा,बागरा
2809,bawara,बावरा,बाध्य
2810,baahulya,बाहुल्य,बाध्य
2811,bahuly,बाहुल्य,बहुपूर्वक
2812,bahulya,बाहुल्य,बहुवेदना
2813,box,बाॅक्स,बोर्ड
2814,bikherati,बिखेरती,बिटना
2815,bikherti,बिखेरती,बिजर
2816,biggest,बिगेस्ट,बीता
2817,bichhua,बिछुआ,ब्रांसिस
2818,bichhuaa,बिछुआ,बिछाने
2819,biji,बिजी,बेंद्र
2820,busy,बिजी,बोल्ड
2821,buzy,बिजी,बुलाया
2822,bipin,बिपिन,बेहरा
2823,bilae,बिलाई,बिक्स
2824,bilai,बिलाई,बिक्टर
2825,billa,बिल्ला,बिछार
2826,billaa,बिल्ला,बिजार
2827,bilhaur,बिल्हौर,बेल्ड
2828,bisva,बिस्वा,बेहरा
2829,biswa,बिस्वा,बीवी
2830,bag,बीएजी,बाजन
2831,bikaner,बीकानेर,बेला
2832,bikaneri,बीकानेरी,बिजर्ड
2833,bk,बीके,बेल्ड
2834,beejak,बीजक,बेलिया
2835,bijak,बीजक,बिजार
2836,beef,बीफ,बेली
2837,beem,बीम,बिल्ड
2838,bim,बीम,बेलिक
2839,beemon,बीमों,बेलिया
2840,bimon,बीमों,बिछ्बे
2841,beerganj,बीरगंज,बेला
2842,birganj,बीरगंज,बेहरा
2843,beesavaan,बीसवां,बेहरा
2844,bisavan,बीसवां,बेरी
2845,bisawan,बीसवां,बेलिस
2846,beast,बीस्ट,बेरा
2847,budvig,बुडविग,बुलाए
2848,budwig,बुडविग,बुद्धि
2849,bull,बुल,बोल
2850,bulaao,बुलाओ,बोर्ड
2851,bulao,बुलाओ,बोल्ड
2852,bule,बुले,बोला
2853,bulletin,बुलेटिन,बोलिया
2854,brijesh,बृजेश,ब्रह्मावत
2855,benvar,बेंवर,बेक
2856,benwar,बेंवर,बेरी
2857,beaulad,बेऔलाद,बेरा
2858,bekaaboo,बेकाबू,बेरी
2859,bekabu,बेकाबू,बेहाली
2860,bechakar,बेचकर,बिलाने
2861,bechkar,बेचकर,बेल्ट
2862,bechate,बेचते,बेलना
2863,bechte,बेचते,बेल्स
2864,bediyan,बेड़ियां,बिला
2865,bethanal,बेथनल,बेलें
2866,bethnal,बेथनल,बेला
2867,benis,बेनिस,बेस्ट्री
2868,belacha,बेलचा,बेचना
2869,belcha,बेलचा,बेली
2870,belinda,बेलिंडा,बेलिस्ट
2871,bevkufana,बेवकूफाना,बेहरा
2872,bewakoofaanaa,बेवकूफाना,बेनें
2873,bewkufana,बेवकूफाना,बेच
2874,besahaaraa,बेसहारा,बेहरा
2875,besahara,बेसहारा,बेहरा
2876,basin,बेसिन,बनाते
2877,besin,बेसिन,बेल्स
2878,basil,बेसिल,बांधना
2879,besil,बेसिल,बेरा
2880,bandage,बैंडेज,बनाने
2881,bandej,बैंडेज,बार्टिंग
2882,baithantey,बैठते,बुद्धार्थ
2883,baithate,बैठते,बाल्या
2884,baitool,बैतूल,बाल्ट
2885,baitul,बैतूल,बाल्क
2886,betul,बैतूल,बेलिया
2887,baini,बैनी,बाल्या
2888,beni,बैनी,बीटर
2889,bairakpur,बैरकपुर,बुद्धावस्था
2890,barrackpore,बैरकपुर,बार्क
2891,baila,बैला,बोली
2892,bella,बैला,बेहरा
2893,ballistic,बैलिस्टिक,बार्किंग
2894,bells,बैल्स,बेहरा
